Class ,Overall,Work
118,4.5,3
186,3.3,2.9
192,4.1,3.2
196,4.2,2.6
206,4.7,3.5
206,4.7,3.5
213,4.9,3.3
216,4.3,2.7
227,4.2,3.2
239,4.2,3.8
253,3.7,3
326,4.3,3.1
352,4.6,2.8
401,4.9,3.3
412,4.2,3
480,4.2,3
491,2,3.5
518,4.5,3
605,4.9,3.3
687,4.5,3.3
752,4.8,3.5
773,3.9,2.2
895,4.5,3.5
